FBGN	name	chr	start	end	TSS	strand	TPM	biotype....rnaseq.biotype	LAM	HP1	PC	TPM.cut
FBgn0260793	2mit	chr3R	8947673	8981386	8981386	-1	252.531575	protein_coding	0	0	0	high
FBgn0053100	4EHP	chr3R	19893085	19934642	19934642	-1	120.9001	protein_coding	0	0	0	high
FBgn0004168	5-HT1A	chr2R	14954660	15009463	14954660	1	166.17794	protein_coding	0	0	0	high
FBgn0263116	5-HT1B	chr2R	14909830	14920147	14920147	-1	22.6168	protein_coding	0	0	0	mid
FBgn0087012	5-HT2	chr3R	448224	459026	448224	1	12.947435	protein_coding	1	1	0	mid
FBgn0004573	5-HT7	chr3R	26794864	26842569	26842569	-1	48.788335	protein_coding	0	0	0	high
FBgn0259178	5PtaseI	chr3R	20866784	20870837	20870837	-1	19.54695	protein_coding	0	0	0	mid
FBgn0041707	7B2	chr3R	1202476	1203701	1202476	1	1086.425175	protein_coding	0	0	0	high
FBgn0052062	A2bp1	chr3L	10509103	10584025	10509103	1	163.271075	protein_coding	0	1	0	high
FBgn0262739	AGO1	chr2R	9835042	9843185	9843185	-1	232.205945	protein_coding	0	0	0	high
FBgn0250816	AGO3	chr3L	23549025	23642556	23549025	1	3.32527	protein_coding	1	1	0	weak
FBgn0261953	AP-2	chr3L	21601223	21606449	21601223	1	6.736665	protein_coding	0	0	1	mid
FBgn0263351	AP-50	chr3R	18288162	18290325	18288162	1	76.25134	protein_coding	0	0	0	high
FBgn0261112	APP-BP1	chr3L	11091729	11093678	11091729	1	74.54523	protein_coding	0	0	0	high
FBgn0033807	AQP	chr2R	9099910	9101616	9101616	-1	1.293795	protein_coding	0	0	0	weak
FBgn0039595	AR-2	chr3R	24563110	24570485	24570485	-1	1.395525	protein_coding	1	0	0	weak
FBgn0034606	ASPP	chr2R	17105361	17111291	17111291	-1	16.6392	protein_coding	1	0	0	mid
FBgn0030343	ATP7	chrX	11749066	11757861	11749066	1	21.854625	protein_coding	0	0	0	mid
FBgn0020236	ATPCL	chr2R	11881308	11887789	11887789	-1	56.47289	protein_coding	0	0	0	high
FBgn0016119	ATPsyn-Cf6	chr3R	19181002	19181786	19181786	-1	342.25451	protein_coding	0	0	0	high
FBgn0016120	ATPsyn-d	chr3R	14920714	14921777	14920714	1	436.49029	protein_coding	0	0	0	high
FBgn0028962	Aats-ala-m	chr3L	5139198	5142952	5139198	1	9.49762	protein_coding	0	0	0	mid
FBgn0027083	Aats-met	chr3R	10077212	10085708	10085708	-1	7.204785	protein_coding	0	0	0	mid
FBgn0027082	Aats-pro	chr3L	2650161	2651850	2651850	-1	7.069955	protein_coding	0	0	0	mid
FBgn0000015	Abd-B	chr3R	12753395	12757335	12757335	-1	11.68602	protein_coding	0	0	1	mid
FBgn0000017	Abl	chr3L	16615470	16640982	16640982	-1	75.924945	protein_coding	0	0	0	high
FBgn0023416	Ac3	chr2L	21632587	21639620	21632587	1	108.910315	protein_coding	0	0	0	high
FBgn0004852	Ac76E	chr3L	19932387	19971060	19932387	1	44.390345	protein_coding	0	0	0	high
FBgn0024150	Ac78C	chr3L	21129547	21139021	21139021	-1	15.85736	protein_coding	0	0	0	mid
FBgn0000024	Ace	chr3R	9053964	9084590	9084590	-1	287.65016	protein_coding	0	0	0	high
FBgn0016122	Acer	chr2L	8521933	8524884	8521933	1	8.51345	protein_coding	0	1	0	mid
FBgn0028484	Ack	chr3L	4108186	4114157	4108186	1	22.251445	protein_coding	0	0	0	mid
FBgn0263998	PR2	chr2R	9030339	9040182	9040182	-1	101.82463	protein_coding	0	0	0	high
FBgn0263198	Acn	chr2L	19045376	19048633	19045376	1	185.61545	protein_coding	0	0	0	high
FBgn0034629	Acox57D-d	chr2R	17276901	17279944	17276901	1	6.05153	protein_coding	1	1	0	weak
FBgn0034628	Acox57D-p	chr2R	17273859	17276788	17273859	1	5.51382	protein_coding	1	0	0	weak
FBgn0051779	Acp24A4	chr2L	3693479	3693889	3693889	-1	1.614705	protein_coding	1	0	1	weak
FBgn0011559	Acp36DE	chr2L	18356125	18359026	18359026	-1	4.836165	protein_coding	1	0	1	weak
FBgn0034152	Acp53C14a	chr2R	12635565	12636077	12636077	-1	13.665345	protein_coding	0	0	0	mid
FBgn0034153	Acp53C14b	chr2R	12636411	12636952	12636952	-1	30.71813	protein_coding	0	0	0	high
FBgn0053530	Acp53C14c	chr2R	12638281	12638974	12638974	-1	77.495655	protein_coding	0	0	0	high
FBgn0015584	Acp53Ea	chr2R	12637308	12637827	12637827	-1	209.90232	protein_coding	0	0	0	high
FBgn0015585	Acp63F	chr3L	3815839	3816354	3816354	-1	3.823385	protein_coding	0	0	0	weak
