FBGN	name	chr	start	end	TSS	strand	TPM	biotype....rnaseq.biotype	LAM	HP1	PC	TPM.cut
FBgn0260793	2mit	chr3R	8947673	8981386	8981386	-1	1.82643	protein_coding	1	0	0	weak
FBgn0053100	4EHP	chr3R	19893085	19934642	19934642	-1	59.060725	protein_coding	0	0	0	high
FBgn0004573	5-HT7	chr3R	26794864	26842569	26842569	-1	4.02137	protein_coding	1	0	0	weak
FBgn0259178	5PtaseI	chr3R	20866784	20870837	20870837	-1	12.21762	protein_coding	0	0	0	mid
FBgn0052208	825-Oak	chr3L	19464756	19465328	19465328	-1	1.38071	protein_coding	1	1	0	weak
FBgn0052062	A2bp1	chr3L	10509103	10584025	10509103	1	114.982475	protein_coding	0	1	0	high
FBgn0262739	AGO1	chr2R	9835042	9843185	9843185	-1	196.685075	protein_coding	0	0	0	high
FBgn0250816	AGO3	chr3L	23549025	23642556	23549025	1	2.378075	protein_coding	1	1	0	weak
FBgn0263351	AP-50	chr3R	18288162	18290325	18288162	1	110.834945	protein_coding	0	0	0	high
FBgn0052707	APC4	chrX	8976970	8979900	8976970	1	3.856255	protein_coding	0	0	0	weak
FBgn0261112	APP-BP1	chr3L	11091729	11093678	11091729	1	2.339425	protein_coding	0	0	0	weak
FBgn0030343	ATP7	chrX	11749066	11757861	11749066	1	12.53926	protein_coding	0	0	0	mid
FBgn0020236	ATPCL	chr2R	11881308	11887789	11887789	-1	120.567835	protein_coding	0	0	0	high
FBgn0016119	ATPsyn-Cf6	chr3R	19181002	19181786	19181786	-1	104.460545	protein_coding	0	0	0	high
FBgn0016120	ATPsyn-d	chr3R	14920714	14921777	14920714	1	201.976445	protein_coding	0	0	0	high
FBgn0028962	Aats-ala-m	chr3L	5139198	5142952	5139198	1	10.83993	protein_coding	0	0	0	mid
FBgn0027083	Aats-met	chr3R	10077212	10085708	10085708	-1	1.004005	protein_coding	0	0	0	weak
FBgn0027082	Aats-pro	chr3L	2650161	2651850	2651850	-1	1.863205	protein_coding	1	0	0	weak
FBgn0000017	Abl	chr3L	16615470	16640982	16640982	-1	163.72342	protein_coding	0	0	0	high
FBgn0023416	Ac3	chr2L	21632587	21639620	21632587	1	15.08436	protein_coding	0	1	0	mid
FBgn0004852	Ac76E	chr3L	19932387	19971060	19932387	1	99.034345	protein_coding	0	0	0	high
FBgn0024150	Ac78C	chr3L	21129547	21139021	21139021	-1	23.08259	protein_coding	0	0	0	mid
FBgn0000024	Ace	chr3R	9053964	9084590	9084590	-1	776.612045	protein_coding	0	0	0	high
FBgn0016122	Acer	chr2L	8521933	8524884	8521933	1	1.268345	protein_coding	0	1	0	weak
FBgn0028484	Ack	chr3L	4108186	4114157	4108186	1	30.25479	protein_coding	0	0	0	high
FBgn0263998	PR2	chr2R	9030339	9040182	9040182	-1	41.291395	protein_coding	0	0	0	high
FBgn0263198	Acn	chr2L	19045376	19048633	19045376	1	172.52535	protein_coding	0	0	0	high
FBgn0034629	Acox57D-d	chr2R	17276901	17279944	17276901	1	10.340455	protein_coding	0	0	0	mid
FBgn0034628	Acox57D-p	chr2R	17273859	17276788	17273859	1	19.428865	protein_coding	0	0	0	mid
FBgn0014454	Acp1	chr2L	7740552	7741542	7741542	-1	2.44158	protein_coding	1	0	0	weak
FBgn0051779	Acp24A4	chr2L	3693479	3693889	3693889	-1	97.526345	protein_coding	1	1	1	high
FBgn0015583	Acp29AB	chr2L	8392456	8393222	8393222	-1	79.608095	protein_coding	0	0	0	high
FBgn0011559	Acp36DE	chr2L	18356125	18359026	18359026	-1	2.506905	protein_coding	1	0	1	weak
FBgn0020509	Acp62F	chr3L	2739750	2740228	2739750	1	1.852	protein_coding	1	0	0	weak
FBgn0015586	Acp76A	chr3L	19043857	19045126	19045126	-1	2.786415	protein_coding	0	1	0	weak
FBgn0263597	Acp98AB	chr3R	23520605	23520773	23520605	1	46.909045	protein_coding	0	0	0	high
FBgn0263120	Acsl	chr2R	4563798	4570296	4563798	1	192.06429	protein_coding	0	0	0	high
FBgn0000045	Act79B	chr3L	21978310	21980290	21978310	1	1.34889	protein_coding	1	0	0	weak
FBgn0000046	Act87E	chr3R	9252169	9253811	9252169	1	2.91331	protein_coding	1	0	0	weak
FBgn0000047	Act88F	chr3R	11265710	11267895	11265710	1	36.06306	protein_coding	1	0	0	high
FBgn0000667	Actn	chrX	1919149	1930499	1930499	-1	95.71795	protein_coding	0	1	0	high
FBgn0037661	Ada	chr3R	4890905	4892025	4890905	1	17.222445	protein_coding	0	0	0	mid
FBgn0051866	Ada1-2	chr2L	11992906	11994054	11992906	1	2.514635	protein_coding	0	0	0	weak
FBgn0263738	Ada2a	chr3R	14078677	14081191	14081191	-1	59.82659	protein_coding	0	0	0	high
FBgn0026086	Adar	chrX	1668560	1678034	1668560	1	14.196295	protein_coding	0	0	0	mid
FBgn0036752	Adgf-A	chr3L	17744831	17757258	17757258	-1	6.03702	protein_coding	1	0	0	mid
FBgn0038173	Adgf-C	chr3R	9532479	9534851	9532479	1	1.3594	protein_coding	0	0	0	weak
FBgn0038172	Adgf-D	chr3R	9528806	9531180	9531180	-1	78.79328	protein_coding	0	0	0	high
FBgn0022709	Adk1	chr3L	12193494	12197035	12197035	-1	81.88274	protein_coding	0	1	0	high
FBgn0039747	AdoR	chr3R	25960997	25975328	25975328	-1	28.10154	protein_coding	1	0	0	high
FBgn0026602	Ady43A	chr2R	3130529	3133263	3133263	-1	1.071845	protein_coding	0	0	0	weak
FBgn0038223	Afti	chr3R	10147101	10152427	10152427	-1	18.657645	protein_coding	0	0	0	mid
FBgn0020508	Ag5r2	chrX	14676985	14678085	14678085	-1	9.61344	protein_coding	1	1	0	mid
FBgn0015011	Ahcy89E	chr3R	12804161	12807754	12807754	-1	4.03615	protein_coding	0	0	0	weak
FBgn0261238	Alh	chr3R	2923411	2934139	2934139	-1	109.88076	protein_coding	0	0	0	high
FBgn0040505	Alk	chr2R	12513607	12525480	12525480	-1	12.041245	protein_coding	1	0	0	mid
FBgn0031068	Alr	chrX	19642956	19644204	19642956	1	2.360105	protein_coding	0	0	0	weak
FBgn0000071	Ama	chr3R	2589128	2590983	2589128	1	848.38818	protein_coding	0	0	0	high
FBgn0000078	Amy-d	chr2R	13012267	13013887	13012267	1	1.32453	protein_coding	1	0	0	weak
FBgn0033366	Ance-4	chr2R	4927225	4929647	4929647	-1	2.63183	protein_coding	1	0	0	weak
FBgn0035076	Ance-5	chr2R	20776151	20778545	20778545	-1	27.65469	protein_coding	0	0	0	high
FBgn0261788	Ank2	chr3L	7702020	7706747	7706747	-1	2.83283	protein_coding	1	0	0	weak
FBgn0025111	Ant2	chrX	10672987	10674694	10674694	-1	3.661865	protein_coding	0	0	0	weak
FBgn0260642	Antp	chr3R	2732740	2758562	2758562	-1	15.049205	protein_coding	1	0	1	mid
FBgn0026598	Apc2	chr3R	19989690	19994041	19989690	1	9.24608	protein_coding	0	0	0	mid
FBgn0029879	Apc7	chrX	6491216	6493732	6491216	1	5.462585	protein_coding	0	0	0	weak
FBgn0033928	Arc2	chr2R	10249449	10250330	10249449	1	9.24501	protein_coding	0	1	0	mid
FBgn0263864	Ark	chr2R	12907549	12910877	12907549	1	34.28239	protein_coding	0	0	0	high
FBgn0262716	Arp66B	chr3L	8106507	8109002	8109002	-1	128.150605	protein_coding	0	0	0	high
FBgn0038576	Arp5	chr3R	14011241	14013597	14011241	1	5.20243	protein_coding	0	0	0	weak
FBgn0030877	Arp8	chrX	17752412	17754833	17754833	-1	33.714215	protein_coding	0	0	0	high
FBgn0031437	p16-ARC	chr2L	2580291	2581114	2580291	1	95.364005	protein_coding	0	0	0	high
FBgn0037770	Art4	chr3R	5808908	5811782	5811782	-1	71.674565	protein_coding	0	0	0	high
FBgn0038189	Art6	chr3R	9770376	9771534	9771534	-1	14.97542	protein_coding	1	0	1	mid
FBgn0034817	Art7	chr2R	18964211	18966599	18966599	-1	1.950295	protein_coding	0	0	0	weak
